analysis_set,comparison_group,n_issues,n_repos,comment_count__mean,comment_count__sd,comment_count__median,comment_count__q1,comment_count__q3,comments_with_text_count__mean,comments_with_text_count__sd,comments_with_text_count__median,comments_with_text_count__q1,comments_with_text_count__q3,unique_commenter_count__mean,unique_commenter_count__sd,unique_commenter_count__median,unique_commenter_count__q1,unique_commenter_count__q3,mean_comment_sentiment__mean,mean_comment_sentiment__sd,mean_comment_sentiment__median,mean_comment_sentiment__q1,mean_comment_sentiment__q3,median_comment_sentiment__mean,median_comment_sentiment__sd,median_comment_sentiment__median,median_comment_sentiment__q1,median_comment_sentiment__q3,min_comment_sentiment__mean,min_comment_sentiment__sd,min_comment_sentiment__median,min_comment_sentiment__q1,min_comment_sentiment__q3,max_comment_sentiment__mean,max_comment_sentiment__sd,max_comment_sentiment__median,max_comment_sentiment__q1,max_comment_sentiment__q3,std_comment_sentiment__mean,std_comment_sentiment__sd,std_comment_sentiment__median,std_comment_sentiment__q1,std_comment_sentiment__q3,comment_sentiment_change_late_minus_early__mean,comment_sentiment_change_late_minus_early__sd,comment_sentiment_change_late_minus_early__median,comment_sentiment_change_late_minus_early__q1,comment_sentiment_change_late_minus_early__q3,comment_sentiment_slope__mean,comment_sentiment_slope__sd,comment_sentiment_slope__median,comment_sentiment_slope__q1,comment_sentiment_slope__q3,negative_comment_share__mean,negative_comment_share__sd,negative_comment_share__median,negative_comment_share__q1,negative_comment_share__q3,positive_comment_share__mean,positive_comment_share__sd,positive_comment_share__median,positive_comment_share__q1,positive_comment_share__q3
comparison,comparison,5888,22,2.7126358695652173,3.3145442342456173,2.0,1.0,3.0,2.7126358695652173,3.3145442342456173,2.0,1.0,3.0,1.8602241847826086,1.5769684113799396,1.0,1.0,2.0,-0.0189652346800292,0.2169989004800624,0.0,0.0,0.0,-0.01901632666652173,0.22383979174676472,0.0,0.0,0.0,-0.1416121533490182,0.303725783479946,0.0,-0.5,0.0,0.10331728013956364,0.2953584157697882,0.0,0.0,0.25,0.1157699332684366,0.1818596356675813,0.0,0.0,0.27386127875258304,0.016589635833138838,0.24162502580281744,0.0,0.0,0.0,0.014955395894845113,0.18635994177502282,0.0,0.0,0.0,0.15885399634257205,0.29408608999232716,0.0,0.0,0.25,0.12513755246904654,0.2591729665338748,0.0,0.0,0.1067251461988304
wontfix,wontfix,2226,22,2.7888589398023362,3.8668143670315187,2.0,1.0,4.0,2.7888589398023362,3.8668143670315187,2.0,1.0,4.0,1.8823000898472597,1.837091328678462,1.0,1.0,3.0,-0.020882815980337352,0.16925696824737319,0.0,0.0,0.0,-0.021396778884986433,0.17425846103981021,0.0,0.0,0.0,-0.1399426723016688,0.278428733972759,0.0,-0.4,0.0,0.0982354689440801,0.2560601790811174,0.0,0.0,0.0,0.10668452235044328,0.16786822644979002,0.0,0.0,0.2523976809384107,0.004689781334362304,0.21569721402171071,0.0,0.0,0.0,0.0043099675908320235,0.1533885410215321,0.0,0.0,0.0,0.1193898524814052,0.2418206727217597,0.0,0.0,0.125,0.0848829774216784,0.199356708423464,0.0,0.0,0.0
